Player,firstServePercentage,firstServePointsWonPercentage,secondServePointsWonPercentage,serviceGamesWonPercentage,averageAcesPerMatch,averageDoubleFaultsPerMatch
John Isner,69.3,81.8,55.1,92.9,22.6,2.8
Ivo Karlovic,65.0,82.9,55.8,93.2,22.0,5.2
Milos Raonic,64.3,79.7,55.2,90.0,12.9,3.1
Nick Kyrgios,66.7,76.0,55.4,88.9,14.1,3.2
Roger Federer,63.3,78.6,56.4,89.4,10.5,1.9
Gilles Muller,61.9,80.3,53.0,88.5,14.7,3.4
Jo-Wilfried Tsonga,60.8,79.6,52.4,89.0,9.2,2.7
Kevin Anderson,60.4,76.8,53.2,85.4,13.4,4.1
Marin Cilic,55.7,79.0,54.8,86.0,10.1,2.6
Sam Querrey,57.9,80.2,50.4,84.3,13.0,3.2
Rafael Nadal,71.2,69.6,56.9,83.9,2.4,1.7
Juan Martin del Potro,64.8,75.9,52.5,83.9,7.0,2.4
Jiri Vesely,64.7,72.1,55.1,83.8,8.2,3.4
Tomas Berdych,57.8,78.6,52.2,85.7,8.3,2.7
Steve Johnson,61.3,75.3,53.6,84.2,7.5,2.5
Stan Wawrinka,58.8,74.3,56.1,85.1,7.3,2.4
Novak Djokovic,64.8,72.8,55.4,84.9,3.5,2.7
Andy Murray,59.7,76.1,53.7,84.7,6.4,2.5
Gael Monfils,63.6,74.0,52.6,82.1,7.9,2.9
Bernard Tomic,66.3,72.7,48.9,81.9,9.2,2.4
Grigor Dimitrov,64.7,73.6,52.0,82.8,6.6,3.2
Ryan Harrison,59.8,75.9,51.7,83.9,8.2,3.0
Feliciano Lopez,59.1,76.3,50.2,83.4,9.6,2.8
Jack Sock,59.4,74.5,54.0,84.7,6.6,3.7
Pablo Cuevas,60.5,73.6,54.4,82.4,7.2,2.9
Dusan Lajovic,68.9,68.6,52.8,80.4,3.6,1.8
Dominic Thiem,59.2,73.1,54.2,82.3,5.8,2.9
Philipp Kohlschreiber,59.3,73.8,53.7,81.5,5.6,2.3
Mischa Zverev,64.1,72.4,49.9,81.5,5.9,2.4
Kei Nishikori,61.8,71.5,54.7,82.1,3.0,2.3
Nicolas Mahut,61.3,73.0,52.4,81.3,5.4,2.6
Guido Pella,66.4,67.6,53.2,79.1,5.3,2.7
Florian Mayer,62.6,71.6,50.1,80.3,5.5,1.6
Roberto Bautista Agut,65.0,68.9,53.7,79.0,3.5,2.1
Fernando Verdasco,65.2,71.4,49.8,80.1,5.1,3.6
Kyle Edmund,59.1,73.9,51.1,80.1,6.2,3.1
Richard Gasquet,62.3,70.9,52.9,79.5,3.5,1.8
Alexander Zverev,60.5,72.3,50.5,81.0,6.8,4.8
Pablo Carreno Busta,62.1,71.1,51.1,79.0,4.6,1.9
Viktor Troicki,61.4,73.2,46.9,78.1,8.6,2.8
Daniel Evans,59.0,71.7,52.2,81.2,5.7,4.3
Borna Coric,62.2,70.2,52.7,76.8,6.1,2.7
Robin Haase,58.8,73.7,49.6,77.8,8.2,3.0
Lucas Pouille,54.9,74.3,50.9,80.0,8.3,3.4
Nicolas Almagro,53.6,74.8,50.9,79.0,9.5,4.0
Andreas Seppi,57.4,72.2,51.2,79.3,6.0,3.1
Taylor Fritz,57.0,73.0,48.4,78.9,8.2,2.6
Federico Delbonis,59.0,70.7,52.4,79.5,4.4,3.5
David Goffin,59.0,71.6,51.0,79.0,5.4,3.5
Marcel Granollers,63.3,69.3,51.2,76.2,3.9,1.6
Alexandr Dolgopolov,56.2,73.3,51.0,78.0,7.0,3.5
Steve Darcis,58.6,72.4,50.6,77.9,4.2,2.3
David Ferrer,62.3,69.8,50.9,77.7,3.0,3.6
Victor Estrella Burgos,66.4,66.5,50.8,75.6,3.4,2.6
Marcos Baghdatis,52.6,73.5,52.3,78.2,6.2,3.1
Albert Ramos-Vinolas,62.2,68.3,50.9,77.0,3.7,2.8
Jeremy Chardy,59.7,71.7,49.2,76.7,7.1,5.1
Donald Young,59.3,70.5,51.1,78.1,3.7,4.0
Aljaz Bedene,57.7,72.3,48.1,75.0,8.9,3.3
Joao Sousa,64.5,69.8,48.4,74.2,3.2,2.0
Jan-Lennard Struff,53.1,76.3,49.0,77.0,7.2,4.7
Malek Jaziri,54.3,72.7,50.4,78.1,4.5,3.1
Andrey Kuznetsov,55.2,72.1,51.0,76.4,4.9,3.1
Damir Dzumhur,66.6,64.7,51.2,73.2,2.4,2.6
Mikhail Youzhny,59.9,68.1,51.0,75.6,3.7,3.0
Thomaz Bellucci,58.6,68.7,51.8,73.9,4.3,3.4
Paolo Lorenzi,56.7,70.0,50.8,74.8,4.2,3.0
Adrian Mannarino,60.0,69.3,48.1,74.0,4.9,3.0
Gilles Simon,57.9,67.1,52.8,73.0,3.3,2.5
Paul-Henri Mathieu,55.3,70.0,49.4,76.2,4.7,4.4
Diego Schwartzman,61.8,65.6,50.5,71.4,1.9,2.3
Guillermo Garcia-Lopez,56.2,69.8,48.5,73.6,3.2,3.9
Fabio Fognini,56.3,67.3,51.1,72.6,2.8,4.2
Benoit Paire,49.6,72.1,46.7,70.5,8.0,4.7
Stephane Robert,51.8,69.6,46.0,69.3,3.9,4.5
